Hour,1,2,3,4,5,Glass,,
1,0,1,7,9,12,1,,
2,-1,0,4,6,12,0,,
3,-2,-1,3,4,9,-1,,
4,-3,-2,1,2,7,-1,,
5,-3,-3,0,1,4,-1,,
6,-3,-3,-1,-1,2,-1,,
7,0,-2,0,-2,1,-1,,
8,7,2,3,-2,1,0,,
9,16,9,7,0,2,1,,
10,25,18,13,4,7,2,,
11,33,27,19,9,12,4,,
12,41,34,26,16,17,5,,
13,46,41,32,23,22,7,,
14,49,46,37,30,27,7,,
15,49,48,40,36,33,8,,
16,46,47,41,41,37,8,,
17,41,44,41,43,38,7,,
18,33,39,37,43,36,7,,
19,24,31,33,41,33,6,,
20,14,22,27,37,29,4,,
21,8,14,21,31,27,3,,
22,5,8,17,25,25,2,,
23,3,5,13,19,23,2,,
24,1,3,9,13,21,1,,
