Hour,1-U,1-T,1-S,1-B,2-U,2-T,2-S,2-B,3-U,3-T,3-S,3-B,4-U,4-T,4-S,4-B,5-U,5-T,5-S,5-B
1,1,1,1,8,2,2,2,9,4,4,4,11,6,6,6,12,7,8,8,14
2,0,0,0,7,1,1,1,8,3,3,3,9,4,4,4,8,6,6,7,11
3,-1,-1,-1,6,0,0,0,7,1,1,1,8,3,3,3,6,4,5,5,9
4,-1,-1,-1,5,0,0,0,6,1,1,1,6,2,2,2,4,3,4,4,7
5,-2,-1,-1,4,-1,0,0,5,0,1,1,5,1,1,1,2,3,3,3,6
6,-1,0,-1,3,0,1,0,4,0,2,1,5,0,1,1,1,2,2,2,4
7,4,8,5,4,6,10,6,5,6,10,7,6,0,1,0,1,1,2,2,3
8,6,18,10,6,8,20,12,7,9,20,13,8,1,3,1,0,2,4,1,2
9,6,26,15,9,9,28,17,10,10,28,18,11,2,8,0,1,3,9,2,2
10,7,31,18,12,10,33,20,13,11,34,21,14,3,15,1,1,3,14,2,3
11,9,32,20,16,11,35,22,17,12,36,23,18,4,21,3,3,4,18,4,4
12,12,31,20,18,14,34,22,19,15,35,23,20,6,25,7,4,5,22,7,5
13,14,27,18,19,16,30,20,20,17,31,21,21,7,27,11,6,7,22,11,6
14,15,20,16,19,17,22,18,20,18,23,19,21,9,26,16,8,8,22,14,8
15,16,17,15,19,18,19,17,20,19,20,18,21,11,24,19,12,9,21,17,11
16,16,15,14,18,18,17,16,19,19,18,17,20,12,22,23,17,11,21,19,16
17,16,13,12,17,18,15,14,18,19,16,15,19,13,21,24,22,12,19,20,21
18,16,12,10,15,18,14,12,16,19,15,13,17,14,19,23,28,13,19,20,25
19,15,10,9,14,17,12,11,15,18,13,12,16,15,18,22,33,13,18,19,29
20,9,9,8,13,12,10,9,13,13,11,10,14,15,16,19,36,13,16,18,30
21,6,7,6,12,9,9,8,12,10,10,9,13,14,14,17,33,13,14,16,28
22,4,5,4,10,7,7,6,10,8,8,8,11,12,12,13,28,12,13,13,24
23,3,3,3,8,6,6,5,9,7,7,6,10,11,9,11,22,10,11,12,21
24,2,2,2,7,4,4,4,7,5,5,5,8,8,8,8,17,8,9,10,17
